Species,Fishing.Area,Month,Weight.g,Length.cm,Width.cm,Height.cm,Age.years,Quality.Score,Season.Availability,Cost.TL,Wind.Speed.kmh,Sea.Surface.Temp.C,Active.Fishing.Days,Production.Volume.tonnes,Fishing.Ban.Flag,Price.TL
Çipura (Sea Bream),Marmara Sea,2,454.5,25.79,4.56,3.25,19,90.0,0.67,56.83,58.04,20.67,14,2767.67,0,223.12
Kalkan (Turbot),Mediterranean Sea,9,623.68,38.94,4.76,4.81,11,96.17,0.42,59.1,47.71,23.3,18,3477.18,0,212.93
Hamsi (Anchovy),Aegean Sea,10,140.67,9.57,1.91,0.59,6,93.11,0.41,40.25,25.83,20.01,28,3982.73,0,189.41
Kalkan (Turbot),Aegean Sea,8,738.03,43.1,5.64,5.42,5,89.15,0.54,66.68,33.14,19.91,19,1839.49,0,359.53
Çipura (Sea Bream),Mediterranean Sea,12,553.03,33.35,4.7,4.0,15,85.63,0.75,58.73,73.37,25.71,10,1873.87,0,302.58
Çipura (Sea Bream),Mediterranean Sea,10,489.9,29.68,3.75,3.61,3,98.61,0.46,48.32,65.39,26.74,10,1095.04,0,292.12
Çipura (Sea Bream),Aegean Sea,6,580.12,32.95,4.63,3.96,8,88.69,0.92,49.76,64.78,15.95,12,1916.73,1,361.96
Lüfer (Bluefish),Aegean Sea,10,596.37,35.74,4.9,4.38,2,95.72,0.96,53.42,45.52,12.17,18,2780.35,0,495.93
Levrek (Sea Bass),Marmara Sea,9,426.43,23.06,2.77,3.62,11,85.2,0.42,60.55,49.01,13.37,15,3052.43,0,218.36
Hamsi (Anchovy),Marmara Sea,10,100.14,5.5,0.55,0.81,10,81.27,0.36,27.62,8.91,24.2,28,5000.0,0,180.0
Çipura (Sea Bream),Black Sea,2,371.06,22.51,3.38,3.36,14,92.27,0.39,50.81,60.2,11.92,17,3375.89,0,221.12
Kalkan (Turbot),Black Sea,9,664.76,38.91,5.52,4.58,9,82.31,0.7,68.06,35.96,13.0,19,3479.71,0,322.01
İstavrit (Horse Mackerel),Black Sea,9,350.68,22.68,3.35,1.94,2,90.04,0.64,47.73,43.56,17.53,16,1686.18,0,354.04
Palamut (Bonito),Aegean Sea,7,635.78,36.92,4.92,4.25,16,95.78,0.55,58.2,53.82,14.61,14,1319.52,1,211.15
Hamsi (Anchovy),Marmara Sea,10,168.92,12.13,1.74,1.45,13,87.82,0.46,44.01,66.44,13.46,10,778.42,0,191.28
Hamsi (Anchovy),Mediterranean Sea,12,120.03,6.44,1.7,0.78,16,74.67,0.9,30.62,41.51,21.32,17,2309.89,0,259.99
Kalkan (Turbot),Mediterranean Sea,7,724.06,44.22,5.4,5.35,6,83.18,0.74,64.6,31.12,23.93,19,2973.95,0,377.26
Çipura (Sea Bream),Mediterranean Sea,4,550.65,31.53,4.54,4.91,2,88.45,0.61,57.55,18.08,26.11,24,2051.4,0,327.29
İstavrit (Horse Mackerel),Black Sea,9,358.82,20.88,2.47,3.61,5,96.29,0.63,38.46,30.54,12.11,18,2427.25,0,281.47
Palamut (Bonito),Black Sea,6,580.66,34.53,4.12,4.22,16,87.31,0.73,65.31,5.61,14.4,28,5000.0,0,253.64
Lüfer (Bluefish),Aegean Sea,6,567.27,35.28,4.66,5.17,19,78.71,0.38,67.49,79.48,23.53,10,1507.94,0,190.36
Lüfer (Bluefish),Aegean Sea,5,590.18,36.2,5.08,4.52,14,95.89,0.58,56.49,19.72,13.66,25,2721.28,1,243.63
Palamut (Bonito),Marmara Sea,3,745.2,41.71,5.86,5.41,1,89.14,0.55,74.62,15.58,23.27,26,4738.73,0,287.88
Kalkan (Turbot),Aegean Sea,5,701.31,39.71,4.95,5.17,2,100.0,0.43,72.02,35.84,19.21,18,2747.28,1,328.57
Kalkan (Turbot),Marmara Sea,3,645.74,38.77,5.67,4.56,18,100.0,0.43,47.38,6.61,20.11,28,3643.53,0,180.0
Çipura (Sea Bream),Mediterranean Sea,8,524.01,33.35,3.75,4.24,15,73.81,0.83,56.27,32.54,18.55,21,3122.42,0,271.25
Palamut (Bonito),Aegean Sea,5,699.06,39.42,5.28,5.4,2,100.0,0.7,70.23,58.17,24.84,12,2058.65,0,436.35
Çipura (Sea Bream),Aegean Sea,3,382.99,23.28,3.64,3.51,10,92.0,0.6,40.01,65.1,17.97,10,1267.53,0,277.29
Çipura (Sea Bream),Marmara Sea,4,374.78,22.34,3.55,2.88,17,87.22,0.66,55.51,27.68,14.43,20,1915.95,0,238.89
Çipura (Sea Bream),Mediterranean Sea,2,520.59,30.31,3.93,4.43,3,100.0,0.56,51.57,50.0,26.59,15,1703.07,0,376.77
Levrek (Sea Bass),Aegean Sea,11,574.35,33.33,4.73,5.0,10,96.57,0.38,67.77,66.26,20.96,11,1380.46,0,194.79
Hamsi (Anchovy),Black Sea,11,135.77,7.84,1.33,1.14,8,84.39,0.91,43.48,28.65,12.31,22,2288.65,0,386.89
Hamsi (Anchovy),Aegean Sea,1,160.55,11.16,1.61,1.29,19,85.46,0.82,43.3,64.86,12.92,10,804.94,0,215.21
Palamut (Bonito),Black Sea,3,567.83,33.71,4.57,4.56,11,96.96,0.58,61.92,77.42,12.43,10,1414.48,0,270.53
Lüfer (Bluefish),Marmara Sea,11,578.22,33.95,3.94,4.6,16,90.09,0.85,66.1,28.5,20.33,19,2781.32,0,358.1
Lüfer (Bluefish),Black Sea,9,481.03,29.45,3.78,3.16,10,100.0,0.83,47.02,27.26,11.44,21,3215.5,0,327.12
Hamsi (Anchovy),Black Sea,10,111.41,6.81,1.11,1.0,1,100.0,0.36,30.54,50.49,9.83,16,2976.24,0,237.19
Hamsi (Anchovy),Marmara Sea,7,119.81,6.68,1.36,1.09,1,94.41,0.37,24.25,46.2,13.29,16,2378.62,0,215.07
Palamut (Bonito),Marmara Sea,4,760.73,45.65,5.58,6.09,2,100.0,0.38,55.0,32.11,15.06,22,2921.45,0,309.38
Hamsi (Anchovy),Aegean Sea,12,145.35,7.91,1.36,1.41,12,98.6,0.91,40.04,69.2,21.43,10,1694.5,0,399.35
Kalkan (Turbot),Aegean Sea,6,659.11,39.93,5.21,4.42,6,100.0,0.45,50.21,18.74,19.57,23,2026.37,0,324.51
Kalkan (Turbot),Marmara Sea,11,717.58,43.84,5.66,5.18,9,77.05,0.43,70.02,57.9,14.08,10,1634.3,0,243.15
Lüfer (Bluefish),Aegean Sea,11,497.85,26.86,4.19,4.0,10,93.0,0.8,52.66,15.75,16.09,23,2705.88,0,344.73
Levrek (Sea Bass),Marmara Sea,7,613.22,36.05,4.98,5.05,4,100.0,0.36,58.4,42.68,24.5,17,2760.88,0,239.71
Lüfer (Bluefish),Aegean Sea,11,562.49,33.29,4.3,5.19,18,92.93,0.98,64.2,69.7,22.89,10,1228.75,0,331.59
Hamsi (Anchovy),Marmara Sea,2,134.1,6.84,1.43,1.11,16,80.3,0.87,24.03,38.47,22.06,14,2590.73,0,265.69
Palamut (Bonito),Aegean Sea,3,724.57,41.4,5.96,5.95,12,90.18,0.68,59.19,21.73,23.29,19,2711.59,0,294.37
Levrek (Sea Bass),Mediterranean Sea,5,489.62,29.27,4.11,3.8,18,86.26,0.68,40.21,70.78,27.71,10,697.35,1,285.57
Palamut (Bonito),Aegean Sea,5,639.76,36.25,4.61,4.18,3,97.67,0.35,61.36,64.64,24.41,12,2301.48,0,280.5
Hamsi (Anchovy),Black Sea,1,101.82,7.43,0.98,1.23,16,99.91,0.94,42.14,26.87,16.48,25,3591.4,0,273.7
Çipura (Sea Bream),Marmara Sea,5,499.11,29.36,5.02,4.39,19,87.87,0.33,45.78,30.6,19.32,21,3431.11,0,180.0
Kalkan (Turbot),Mediterranean Sea,7,726.54,41.07,5.16,5.03,10,96.56,0.64,53.67,15.89,21.83,24,3275.54,1,302.78
Levrek (Sea Bass),Aegean Sea,10,498.09,30.26,3.76,3.64,4,91.14,0.42,49.11,34.46,17.98,15,3086.44,0,269.28
Kalkan (Turbot),Mediterranean Sea,8,769.58,44.68,6.33,6.18,16,84.97,0.63,67.5,12.02,24.9,23,2945.2,0,274.46
Hamsi (Anchovy),Mediterranean Sea,6,103.5,5.08,1.5,0.38,13,89.24,0.36,20.34,65.79,23.29,10,1032.43,0,180.0
Kalkan (Turbot),Aegean Sea,10,629.23,34.99,5.07,4.78,8,91.45,0.51,63.52,76.12,20.96,12,1042.75,0,294.69
Hamsi (Anchovy),Mediterranean Sea,1,142.32,9.69,1.09,1.1,11,92.28,0.83,31.8,37.94,17.04,19,2655.73,0,347.93
Lüfer (Bluefish),Aegean Sea,4,604.43,34.89,4.58,4.99,8,98.32,0.62,67.71,29.05,16.38,18,3393.3,0,344.13
Palamut (Bonito),Aegean Sea,9,617.82,37.81,4.96,4.57,8,92.43,0.6,57.64,63.87,13.01,13,1443.34,0,347.77
İstavrit (Horse Mackerel),Aegean Sea,12,358.21,20.19,3.25,3.0,5,95.81,0.62,40.15,31.8,15.25,22,3205.38,0,327.85
Kalkan (Turbot),Marmara Sea,6,639.92,34.6,4.68,4.1,19,85.09,0.3,57.35,68.03,21.69,10,1325.4,0,180.0
Lüfer (Bluefish),Black Sea,6,536.13,28.78,4.14,4.69,19,94.94,0.64,54.23,6.27,17.35,27,3292.52,0,234.28
Palamut (Bonito),Black Sea,2,594.54,35.92,4.04,4.64,16,93.32,0.4,59.98,79.2,19.8,10,1743.81,0,214.04
Lüfer (Bluefish),Black Sea,8,565.32,31.58,4.33,4.68,15,72.84,0.55,67.88,43.02,18.17,16,1140.4,0,254.38
Çipura (Sea Bream),Mediterranean Sea,1,591.26,35.19,4.43,5.02,3,90.3,0.52,49.48,5.17,21.16,27,4793.34,0,290.45
İstavrit (Horse Mackerel),Mediterranean Sea,8,273.4,16.73,2.16,2.45,12,75.22,0.39,42.89,49.23,23.21,11,2077.08,0,224.17
Kalkan (Turbot),Marmara Sea,1,663.01,38.35,6.03,4.86,11,89.09,0.38,66.85,14.96,21.07,24,5000.0,0,225.94
Kalkan (Turbot),Aegean Sea,10,730.61,41.09,5.37,5.84,6,99.89,0.6,57.66,18.1,22.61,24,3802.26,0,335.67
Çipura (Sea Bream),Mediterranean Sea,3,350.9,20.16,2.43,2.81,1,100.0,0.31,43.41,38.52,22.99,16,1279.53,0,292.64
Lüfer (Bluefish),Mediterranean Sea,9,611.24,36.2,4.64,4.88,12,88.09,0.88,60.12,41.72,23.23,18,3250.08,0,372.35
Levrek (Sea Bass),Mediterranean Sea,1,603.76,33.87,4.08,4.85,13,84.42,0.33,63.63,65.56,16.61,10,1127.46,0,241.1
Çipura (Sea Bream),Mediterranean Sea,5,531.09,32.76,4.1,4.05,8,100.0,0.69,52.17,77.76,18.9,10,1643.16,0,324.58
Levrek (Sea Bass),Black Sea,1,662.98,38.84,4.47,5.26,8,93.49,0.43,71.21,68.42,11.74,10,1890.2,0,280.52
Çipura (Sea Bream),Mediterranean Sea,1,457.85,25.21,4.05,3.99,2,89.91,0.64,59.89,34.11,16.42,19,2642.13,0,348.85
Hamsi (Anchovy),Mediterranean Sea,12,114.53,6.95,0.82,1.57,10,83.18,0.86,33.49,72.0,21.07,10,721.56,0,352.42
Hamsi (Anchovy),Mediterranean Sea,5,106.98,8.8,0.7,0.94,10,82.25,0.57,24.07,50.86,27.8,16,3299.67,0,184.62
Lüfer (Bluefish),Aegean Sea,12,543.72,32.65,4.2,4.19,5,98.69,0.44,46.68,30.44,15.24,21,1921.18,0,265.31
Çipura (Sea Bream),Aegean Sea,11,486.9,28.56,3.98,4.59,1,100.0,0.56,60.44,43.57,15.61,16,1855.34,0,342.66
Çipura (Sea Bream),Aegean Sea,3,588.59,34.66,4.7,4.47,18,83.23,0.33,69.3,76.46,17.22,10,1368.26,0,180.0
Hamsi (Anchovy),Mediterranean Sea,3,175.96,10.43,1.8,2.27,11,92.99,0.6,28.59,57.63,27.34,10,842.14,0,249.58
İstavrit (Horse Mackerel),Marmara Sea,12,322.94,19.47,2.63,2.24,5,95.6,0.65,32.21,36.82,21.23,21,2703.34,0,324.94
Levrek (Sea Bass),Black Sea,6,532.83,31.19,3.99,3.87,16,91.09,0.7,57.77,76.86,15.23,10,1008.14,0,298.07
Kalkan (Turbot),Aegean Sea,8,789.21,43.88,5.85,6.33,12,76.98,0.53,60.96,39.3,15.21,14,2457.1,0,275.08
Lüfer (Bluefish),Aegean Sea,9,607.43,36.74,4.66,4.67,16,89.0,0.84,53.44,30.58,15.3,21,3086.47,0,296.43
İstavrit (Horse Mackerel),Mediterranean Sea,1,327.08,20.59,2.52,2.62,8,91.48,0.59,44.75,24.77,16.35,23,4816.69,0,271.42
İstavrit (Horse Mackerel),Aegean Sea,3,330.26,18.97,3.68,3.04,7,94.54,0.42,45.48,39.31,23.88,16,2462.96,0,186.82
Çipura (Sea Bream),Marmara Sea,8,466.29,26.05,3.17,3.51,5,91.04,0.88,59.96,60.51,16.7,10,1087.11,0,404.82
Kalkan (Turbot),Marmara Sea,7,783.63,42.66,5.78,6.97,7,85.26,0.34,56.29,54.54,15.98,12,877.5,0,298.84
Kalkan (Turbot),Mediterranean Sea,2,692.97,38.55,5.5,5.95,2,91.43,0.47,68.04,27.19,26.04,21,3249.2,0,273.99
İstavrit (Horse Mackerel),Marmara Sea,7,246.66,14.18,3.38,2.31,15,82.88,0.56,42.44,74.97,13.52,10,1255.36,0,228.74
Lüfer (Bluefish),Marmara Sea,12,667.28,38.33,5.74,4.87,2,98.46,0.51,53.04,66.97,21.47,10,1249.41,0,341.18
İstavrit (Horse Mackerel),Marmara Sea,2,367.48,20.07,3.03,2.68,11,100.0,0.5,50.78,64.28,23.54,11,1371.82,0,276.27
İstavrit (Horse Mackerel),Mediterranean Sea,12,356.88,20.37,3.05,2.83,9,100.0,0.46,44.57,17.02,25.68,28,5000.0,0,222.31
İstavrit (Horse Mackerel),Mediterranean Sea,6,266.08,16.68,1.36,1.95,4,100.0,0.32,39.2,75.99,18.05,10,735.83,0,243.16
Levrek (Sea Bass),Mediterranean Sea,7,546.93,31.96,4.53,3.76,14,88.7,0.45,51.06,14.64,23.2,28,5000.0,0,180.0
Lüfer (Bluefish),Marmara Sea,5,681.14,40.24,5.94,5.25,15,91.23,0.47,64.03,15.4,19.59,24,2311.06,0,234.94
Çipura (Sea Bream),Mediterranean Sea,7,556.73,32.04,4.45,4.57,5,84.06,0.98,43.26,43.53,21.05,15,2261.51,0,451.25
Kalkan (Turbot),Aegean Sea,9,609.71,35.47,4.94,4.83,4,94.89,0.44,62.33,48.81,19.11,12,1496.72,0,311.09
Levrek (Sea Bass),Black Sea,5,611.47,33.34,4.66,4.33,14,88.43,0.68,68.79,35.79,16.36,18,1546.8,0,314.63
Lüfer (Bluefish),Marmara Sea,4,633.5,36.1,5.44,5.02,5,100.0,0.41,63.2,17.29,14.62,23,2707.95,0,295.35
Palamut (Bonito),Mediterranean Sea,9,776.21,41.54,5.58,5.91,9,85.82,0.6,73.43,29.19,18.62,18,2618.22,0,344.12
İstavrit (Horse Mackerel),Mediterranean Sea,11,255.01,15.27,2.17,2.02,18,77.08,0.51,42.29,58.46,18.9,10,1538.18,0,180.0
Levrek (Sea Bass),Aegean Sea,7,627.3,34.42,4.83,4.48,7,100.0,0.64,49.67,6.15,22.38,26,3720.14,0,312.41
İstavrit (Horse Mackerel),Aegean Sea,9,314.98,20.87,1.61,2.8,8,93.95,0.73,43.21,56.35,14.73,16,2067.52,0,322.42
Lüfer (Bluefish),Black Sea,4,636.67,36.79,5.39,5.15,2,98.28,0.74,53.05,66.52,17.1,10,955.44,0,423.68
Palamut (Bonito),Black Sea,5,648.83,36.16,4.53,5.46,17,91.45,0.68,51.87,61.11,13.01,10,1383.86,1,252.32
Lüfer (Bluefish),Aegean Sea,9,685.11,36.64,5.57,5.33,2,100.0,0.87,65.5,12.61,24.9,28,4499.81,0,433.12
Çipura (Sea Bream),Black Sea,3,489.15,28.91,4.57,4.09,9,100.0,0.45,57.53,70.4,10.91,10,691.89,0,280.92
Palamut (Bonito),Marmara Sea,4,555.79,32.94,4.3,4.9,18,72.17,0.33,46.7,29.4,17.31,18,3814.57,0,180.0
Lüfer (Bluefish),Black Sea,10,697.06,41.72,6.04,5.75,5,97.83,0.92,66.67,15.41,21.48,25,3706.81,0,465.11
İstavrit (Horse Mackerel),Black Sea,9,268.63,19.39,1.87,2.47,4,78.22,0.49,46.55,63.04,8.81,11,1102.87,0,244.1
Kalkan (Turbot),Mediterranean Sea,12,764.63,43.74,5.75,5.6,9,90.6,0.32,70.49,36.22,25.03,22,3256.26,0,180.0
Lüfer (Bluefish),Marmara Sea,10,559.0,28.28,4.78,4.79,3,100.0,0.89,52.06,24.96,19.41,18,3757.51,0,435.41
Lüfer (Bluefish),Aegean Sea,11,551.07,33.33,3.93,4.35,12,100.0,0.92,51.27,59.5,24.44,10,1242.29,0,367.11
Kalkan (Turbot),Mediterranean Sea,9,603.97,35.45,4.46,5.3,11,69.48,0.32,53.93,67.39,20.57,11,840.01,0,180.0
Hamsi (Anchovy),Marmara Sea,6,138.26,8.06,1.19,1.04,17,91.72,0.47,46.76,64.86,23.83,12,1780.37,0,180.0
Lüfer (Bluefish),Black Sea,11,541.19,29.91,3.87,4.04,18,79.83,0.86,45.48,76.64,21.85,10,735.18,0,310.6
Palamut (Bonito),Mediterranean Sea,4,650.84,35.09,5.35,4.84,5,92.02,0.63,49.66,56.88,27.94,11,1174.95,0,333.87
Çipura (Sea Bream),Mediterranean Sea,5,581.65,33.49,4.23,4.31,16,100.0,0.38,63.64,48.48,27.69,12,1699.94,0,213.81
Lüfer (Bluefish),Aegean Sea,8,664.4,40.22,5.36,5.69,7,96.96,0.67,68.75,56.64,21.33,15,2800.28,0,361.33
Lüfer (Bluefish),Black Sea,12,611.43,36.45,5.19,4.42,9,93.91,0.36,70.37,70.52,8.74,11,1207.7,0,250.34
Kalkan (Turbot),Aegean Sea,5,689.91,39.06,5.71,5.45,3,95.87,0.53,73.51,70.29,19.61,10,1638.6,0,323.42
Lüfer (Bluefish),Black Sea,3,679.58,40.57,5.73,5.49,15,91.39,0.49,72.92,7.31,10.14,24,3484.1,0,246.69
Levrek (Sea Bass),Mediterranean Sea,4,426.43,26.05,3.43,3.6,15,97.99,0.33,36.87,46.66,24.64,16,2347.13,0,180.0
İstavrit (Horse Mackerel),Aegean Sea,7,335.93,18.19,2.92,3.0,1,97.59,0.63,38.05,10.78,15.24,26,5000.0,0,262.73
İstavrit (Horse Mackerel),Mediterranean Sea,3,394.12,22.86,3.76,3.37,9,90.28,0.75,58.12,22.51,26.04,23,3031.72,0,375.01
Lüfer (Bluefish),Mediterranean Sea,11,583.31,35.56,4.86,4.78,10,98.04,0.85,54.13,25.31,21.99,19,2411.55,0,330.42
Hamsi (Anchovy),Aegean Sea,6,134.95,6.9,0.35,0.74,14,90.92,0.51,36.52,62.34,22.05,12,1025.39,0,180.0
Kalkan (Turbot),Black Sea,6,769.02,43.45,5.78,5.57,8,100.0,0.4,70.45,20.71,14.49,25,4518.2,0,264.61
İstavrit (Horse Mackerel),Aegean Sea,8,358.72,21.19,3.86,2.97,9,85.5,0.43,40.35,58.89,24.35,12,1696.73,0,218.2
Hamsi (Anchovy),Black Sea,8,130.78,7.88,1.49,0.45,4,87.37,0.66,44.67,69.93,10.79,10,1599.11,0,298.2
Kalkan (Turbot),Aegean Sea,4,614.59,33.51,4.2,5.24,6,98.61,0.36,69.57,21.42,21.81,23,4707.15,0,244.2
İstavrit (Horse Mackerel),Aegean Sea,5,345.84,22.01,3.53,3.0,17,94.27,0.52,35.12,33.21,21.21,21,3773.23,0,180.0
Palamut (Bonito),Aegean Sea,12,661.89,39.74,4.81,5.26,16,86.97,0.4,52.74,76.08,21.6,10,1758.83,0,196.96
Kalkan (Turbot),Mediterranean Sea,7,601.55,34.04,5.04,4.35,4,97.35,0.58,49.16,50.07,26.25,14,2205.89,0,321.81
İstavrit (Horse Mackerel),Marmara Sea,2,302.91,21.19,2.18,2.64,9,100.0,0.45,35.6,41.07,24.36,17,1895.21,0,242.05
Hamsi (Anchovy),Marmara Sea,1,105.19,7.04,1.34,2.06,16,74.55,0.97,20.9,48.13,22.54,15,2672.56,0,291.39
Levrek (Sea Bass),Marmara Sea,11,510.59,31.42,4.13,3.66,1,88.58,0.59,45.43,30.65,17.74,21,3328.03,0,269.43
Hamsi (Anchovy),Black Sea,9,101.04,5.53,0.31,1.2,17,86.74,0.7,37.63,78.95,21.43,10,1451.45,0,180.0
Lüfer (Bluefish),Marmara Sea,4,575.23,34.76,4.5,4.35,7,96.75,0.5,45.77,49.92,15.3,11,784.82,0,311.26
Levrek (Sea Bass),Marmara Sea,2,474.94,27.11,3.25,3.89,6,92.59,0.43,44.01,76.86,23.15,10,1081.12,0,267.64
Hamsi (Anchovy),Black Sea,3,111.24,6.19,0.68,1.14,9,84.28,0.34,20.74,25.18,13.36,26,4077.99,0,180.0
Lüfer (Bluefish),Black Sea,6,505.85,27.65,3.69,4.38,19,77.7,0.65,41.89,32.44,9.72,24,5000.0,1,209.59
Hamsi (Anchovy),Mediterranean Sea,9,129.94,12.07,0.93,1.51,2,100.0,0.65,24.98,69.58,23.9,11,878.7,0,353.02
Levrek (Sea Bass),Aegean Sea,2,624.67,35.7,4.97,5.1,16,94.98,0.41,52.68,38.05,14.69,19,3763.26,0,273.78
Levrek (Sea Bass),Black Sea,6,414.01,24.96,2.81,3.72,6,89.24,0.47,42.9,6.75,14.35,28,4208.17,0,304.24
Levrek (Sea Bass),Black Sea,10,642.26,36.49,5.28,5.18,14,73.64,0.55,57.09,42.18,21.89,13,1031.38,0,242.34
Palamut (Bonito),Black Sea,12,588.38,34.97,4.1,4.99,2,100.0,0.32,49.69,22.31,8.56,18,1509.9,0,262.72
Hamsi (Anchovy),Aegean Sea,3,115.04,6.51,0.72,0.42,16,93.11,0.56,42.9,67.62,18.95,11,922.88,0,195.91
Levrek (Sea Bass),Marmara Sea,8,492.99,30.21,4.17,3.84,17,99.56,0.67,54.65,11.99,15.24,27,5000.0,0,193.02
Çipura (Sea Bream),Black Sea,6,397.54,22.65,2.37,3.02,9,87.83,0.82,49.78,17.32,11.4,24,1826.04,0,331.29
İstavrit (Horse Mackerel),Aegean Sea,12,367.84,21.85,3.75,2.76,9,94.31,0.54,38.1,15.41,18.21,22,3984.4,0,213.67
Lüfer (Bluefish),Marmara Sea,7,533.12,33.23,4.14,4.85,14,92.28,0.69,48.87,63.01,22.78,10,1456.48,0,268.48
İstavrit (Horse Mackerel),Aegean Sea,12,238.67,13.8,1.98,2.56,4,84.16,0.7,47.61,37.6,22.72,19,1673.32,0,336.59
Hamsi (Anchovy),Aegean Sea,1,118.27,6.37,1.23,1.74,17,76.41,0.95,21.75,8.21,14.24,28,4328.61,0,246.34
İstavrit (Horse Mackerel),Marmara Sea,9,321.86,19.19,2.78,2.52,7,89.42,0.51,38.25,42.8,14.96,13,2323.31,0,272.45
Hamsi (Anchovy),Aegean Sea,9,169.97,13.88,1.85,2.04,19,78.65,0.48,44.52,50.52,19.96,12,1651.2,0,180.0
Palamut (Bonito),Aegean Sea,3,717.4,41.52,5.82,5.44,11,93.37,0.61,62.36,9.13,23.93,26,4299.89,0,308.07
Lüfer (Bluefish),Aegean Sea,3,521.5,30.27,4.38,3.3,5,93.59,0.41,61.41,46.94,21.77,14,1273.77,0,279.76
Levrek (Sea Bass),Mediterranean Sea,10,685.19,41.14,4.89,4.8,8,75.95,0.35,62.58,48.2,17.06,15,2027.44,0,271.75
Kalkan (Turbot),Black Sea,4,738.58,39.29,5.71,5.8,6,99.93,0.55,55.93,76.68,14.3,10,1456.34,0,376.81
Lüfer (Bluefish),Mediterranean Sea,11,477.33,27.42,4.49,4.41,12,84.53,0.96,44.28,22.08,22.05,24,3305.66,0,351.6
Hamsi (Anchovy),Marmara Sea,10,143.04,9.97,1.27,1.34,2,99.42,0.64,44.13,38.83,23.22,17,2143.4,0,345.07
Kalkan (Turbot),Black Sea,10,715.97,41.09,6.01,5.71,8,83.01,0.5,57.33,69.78,9.6,10,1030.76,0,338.45
Palamut (Bonito),Marmara Sea,12,684.22,41.91,4.69,4.87,11,100.0,0.56,70.76,67.71,15.8,10,1096.67,0,350.54
Palamut (Bonito),Aegean Sea,11,599.27,35.4,4.85,4.05,18,81.43,0.56,54.14,67.1,19.44,10,1463.74,0,217.4
Levrek (Sea Bass),Aegean Sea,8,492.0,28.74,3.42,4.51,3,82.91,0.65,42.35,61.5,20.65,10,1261.02,0,358.56
Çipura (Sea Bream),Marmara Sea,6,562.16,33.33,4.59,4.08,17,84.62,0.95,45.64,59.0,15.65,10,1228.7,0,330.35
Levrek (Sea Bass),Aegean Sea,2,495.11,27.96,3.08,3.32,5,100.0,0.62,48.07,38.56,18.59,18,1394.42,0,334.01
Levrek (Sea Bass),Mediterranean Sea,2,642.82,36.14,5.49,5.27,8,96.67,0.32,63.01,10.93,22.6,25,4585.6,0,245.5
Hamsi (Anchovy),Marmara Sea,6,144.75,9.07,1.09,1.56,8,97.65,0.42,29.52,64.02,19.29,10,1890.91,0,208.03
Çipura (Sea Bream),Aegean Sea,8,419.3,26.68,3.53,2.98,18,81.27,0.84,47.55,78.0,20.27,10,1653.65,0,258.15
Kalkan (Turbot),Aegean Sea,6,708.52,40.59,6.11,5.09,17,87.33,0.45,60.56,74.73,22.89,10,1215.45,0,181.56
Palamut (Bonito),Aegean Sea,6,739.65,42.9,5.57,6.3,9,98.89,0.6,62.0,17.11,14.38,20,2251.83,1,374.6
Kalkan (Turbot),Aegean Sea,7,607.78,33.95,5.15,5.21,18,80.33,0.47,52.61,67.49,15.35,10,1500.45,1,190.92
Levrek (Sea Bass),Aegean Sea,9,657.02,38.35,5.34,5.18,19,96.07,0.5,69.59,24.66,19.35,23,1999.64,0,231.73
Hamsi (Anchovy),Black Sea,9,107.77,7.75,0.69,0.67,10,85.66,0.63,22.66,50.69,13.34,14,2382.14,0,201.75
Levrek (Sea Bass),Mediterranean Sea,6,660.43,36.65,4.8,5.62,13,85.78,0.34,63.18,19.96,21.43,23,4164.36,0,180.0
Lüfer (Bluefish),Black Sea,11,647.97,38.92,5.64,4.75,16,98.05,1.0,61.7,47.05,14.76,15,1299.87,0,430.86
Kalkan (Turbot),Marmara Sea,1,686.15,36.79,4.98,5.49,10,91.46,0.4,49.97,53.8,14.91,16,3195.54,0,243.28
İstavrit (Horse Mackerel),Black Sea,11,332.84,21.17,2.7,3.26,7,99.03,0.49,45.87,50.36,8.92,11,1041.34,0,271.4
Kalkan (Turbot),Marmara Sea,11,713.77,38.79,5.83,5.35,3,100.0,0.68,71.78,72.24,23.46,10,1591.03,0,416.31
Lüfer (Bluefish),Mediterranean Sea,2,523.56,30.47,4.34,4.65,18,89.3,0.41,52.28,66.75,16.84,14,1238.02,0,199.68
İstavrit (Horse Mackerel),Mediterranean Sea,2,381.15,22.78,3.75,3.23,14,85.75,0.53,56.22,47.99,20.46,12,1742.35,0,233.8
Çipura (Sea Bream),Marmara Sea,5,391.18,20.25,3.06,3.35,12,91.72,0.71,40.17,76.33,23.75,10,1331.47,0,261.08
Palamut (Bonito),Black Sea,9,778.75,45.57,6.39,5.95,16,84.42,0.51,60.41,43.93,15.94,17,2605.1,0,251.39
Palamut (Bonito),Black Sea,11,680.61,37.27,5.33,5.49,18,82.69,0.57,66.3,51.26,18.69,14,1181.19,0,218.85
Lüfer (Bluefish),Black Sea,12,478.25,28.58,3.92,3.54,9,91.77,0.71,48.43,61.97,17.88,11,1191.25,0,348.32
Kalkan (Turbot),Aegean Sea,1,667.46,36.34,4.61,4.93,2,90.43,0.68,56.19,39.47,14.42,18,2817.26,0,384.89
Lüfer (Bluefish),Mediterranean Sea,8,535.31,32.1,4.51,4.63,7,99.5,0.4,58.3,52.17,22.18,13,2323.39,0,308.23
